Timestamp,BusVolts,CurrentMilliAmps,PowerWatts
2025-05-16 17:06:30.000,4.982,106.204,0.530
2025-05-16 17:06:30.003,4.982,106.204,0.530
2025-05-16 17:06:30.006,4.982,106.204,0.530
2025-05-16 17:06:30.009,4.982,106.204,0.530
2025-05-16 17:06:30.012,4.982,106.204,0.530
2025-05-16 17:06:30.015,4.982,106.204,0.530
2025-05-16 17:06:30.018,4.982,106.204,0.530
2025-05-16 17:06:30.021,4.982,106.204,0.649
2025-05-16 17:06:30.024,4.978,130.008,0.649
2025-05-16 17:06:30.027,4.978,130.008,0.649
2025-05-16 17:06:30.030,4.978,130.008,0.649
2025-05-16 17:06:30.033,4.978,130.008,0.649
2025-05-16 17:06:30.036,4.978,130.008,0.649
2025-05-16 17:06:30.039,4.978,130.008,0.649
2025-05-16 17:06:30.042,4.978,130.008,0.649
2025-05-16 17:06:30.045,4.978,130.008,0.649
2025-05-16 17:06:30.048,4.978,130.008,0.649
2025-05-16 17:06:30.051,4.978,130.008,0.649
2025-05-16 17:06:30.054,4.978,130.008,0.649
2025-05-16 17:06:30.057,4.978,147.556,0.732
2025-05-16 17:06:30.060,4.978,147.556,0.732
2025-05-16 17:06:30.063,4.978,147.556,0.732
2025-05-16 17:06:30.066,4.978,147.556,0.732
2025-05-16 17:06:30.069,4.978,147.556,0.732
2025-05-16 17:06:30.072,4.978,147.556,0.732
2025-05-16 17:06:30.075,4.978,147.556,0.732
2025-05-16 17:06:30.078,4.978,147.556,0.732
2025-05-16 17:06:30.081,4.978,147.556,0.732
2025-05-16 17:06:30.084,4.978,147.556,0.732
2025-05-16 17:06:30.087,4.978,147.556,0.732
2025-05-16 17:06:30.090,4.978,147.556,0.732
2025-05-16 17:06:30.093,4.983,100.100,0.500
2025-05-16 17:06:30.096,4.983,100.100,0.500
2025-05-16 17:06:30.099,4.983,100.100,0.500
2025-05-16 17:06:30.102,4.983,100.100,0.500
2025-05-16 17:06:30.105,4.983,100.100,0.500
2025-05-16 17:06:30.108,4.983,100.100,0.500
2025-05-16 17:06:30.111,4.983,100.100,0.500
2025-05-16 17:06:30.114,4.983,100.100,0.500
2025-05-16 17:06:30.117,4.983,100.100,0.500
2025-05-16 17:06:30.120,4.983,100.100,0.500
2025-05-16 17:06:30.123,4.983,100.100,0.500
2025-05-16 17:06:30.126,4.983,100.100,0.500
2025-05-16 17:06:30.129,4.977,142.520,0.710
2025-05-16 17:06:30.132,4.977,142.520,0.710
2025-05-16 17:06:30.135,4.977,142.520,0.710
2025-05-16 17:06:30.138,4.977,142.520,0.710
2025-05-16 17:06:30.141,4.977,142.520,0.710
2025-05-16 17:06:30.144,4.977,142.520,0.710
2025-05-16 17:06:30.147,4.977,142.520,0.710
2025-05-16 17:06:30.150,4.977,142.520,0.710
2025-05-16 17:06:30.153,4.977,142.520,0.710
2025-05-16 17:06:30.156,4.977,142.520,0.710
2025-05-16 17:06:30.160,4.977,142.520,0.710
2025-05-16 17:06:30.162,4.977,142.520,0.710
2025-05-16 17:06:30.165,4.981,120.089,0.603
2025-05-16 17:06:30.168,4.981,120.089,0.603
2025-05-16 17:06:30.171,4.981,120.089,0.603
2025-05-16 17:06:30.174,4.981,120.089,0.603
2025-05-16 17:06:30.177,4.981,120.089,0.603
2025-05-16 17:06:30.180,4.981,120.089,0.603
2025-05-16 17:06:30.183,4.981,120.089,0.603
2025-05-16 17:06:30.186,4.981,120.089,0.603
2025-05-16 17:06:30.189,4.981,120.089,0.603
2025-05-16 17:06:30.193,4.981,120.089,0.603
2025-05-16 17:06:30.195,4.981,120.089,0.603
2025-05-16 17:06:30.199,4.982,100.100,0.500
2025-05-16 17:06:30.202,4.982,100.100,0.500
2025-05-16 17:06:30.204,4.982,100.100,0.500
2025-05-16 17:06:30.207,4.982,100.100,0.500
2025-05-16 17:06:30.210,4.982,100.100,0.500
2025-05-16 17:06:30.213,4.982,100.100,0.500
2025-05-16 17:06:30.216,4.982,100.100,0.500
2025-05-16 17:06:30.219,4.982,100.100,0.500
2025-05-16 17:06:30.222,4.982,100.100,0.500
2025-05-16 17:06:30.225,4.982,100.100,0.500
2025-05-16 17:06:30.228,4.982,100.100,0.500
2025-05-16 17:06:30.231,4.982,100.100,0.500
2025-05-16 17:06:30.234,4.982,103.762,0.519
2025-05-16 17:06:30.237,4.982,103.762,0.519
2025-05-16 17:06:30.240,4.982,103.762,0.519
2025-05-16 17:06:30.243,4.982,103.762,0.519
2025-05-16 17:06:30.246,4.982,103.762,0.519
2025-05-16 17:06:30.249,4.982,103.762,0.519
2025-05-16 17:06:30.252,4.982,103.762,0.519
2025-05-16 17:06:30.255,4.982,103.762,0.519
2025-05-16 17:06:30.258,4.982,103.762,0.519
2025-05-16 17:06:30.261,4.982,103.762,0.519
2025-05-16 17:06:30.264,4.982,103.762,0.519
2025-05-16 17:06:30.267,4.982,103.762,0.519
2025-05-16 17:06:30.270,4.982,96.285,0.481
2025-05-16 17:06:30.273,4.982,96.285,0.481
2025-05-16 17:06:30.276,4.982,96.285,0.481
2025-05-16 17:06:30.279,4.982,96.285,0.481
2025-05-16 17:06:30.282,4.982,96.285,0.481
2025-05-16 17:06:30.285,4.982,96.285,0.481
2025-05-16 17:06:30.288,4.982,96.285,0.481
2025-05-16 17:06:30.291,4.982,96.285,0.481
2025-05-16 17:06:30.294,4.982,96.285,0.481
2025-05-16 17:06:30.297,4.982,96.285,0.481
2025-05-16 17:06:30.300,4.982,96.285,0.481
2025-05-16 17:06:30.303,4.982,96.285,0.481
2025-05-16 17:06:30.306,4.983,96.285,0.484
